epoch,domain_classifier_acc,domain_classifier_loss,label_predictor_acc,label_predictor_loss,loss,val_domain_classifier_acc,val_domain_classifier_loss,val_label_predictor_acc,val_label_predictor_loss,val_loss
0,0.9178,0.21403032213449477,0.5044,1.5246541443824768,1.7386844665527343,0.9856,0.08771585943698883,0.8428,0.6463878421783448,0.7341037017822266
1,0.987,0.06338220494389533,0.8471,0.5671073486804962,0.6304895552635192,0.9904,0.06070764422416687,0.8684,0.5136969747543335,0.5744046194076539
2,0.9845,0.056934768664836884,0.8661,0.45690677959918974,0.5138415482521057,0.972,0.09535964957475662,0.8564,0.5018329906463623,0.5971926383018493
3,0.9635,0.11201222178339958,0.8826,0.4162703248023987,0.5282825468540192,0.778,0.4289295416355133,0.8764,0.5219136525467039,0.9508431939840317
4,0.9103,0.23170448939800262,0.8851,0.4369403689146042,0.66864485912323,0.8772,0.34063888540267945,0.8552,0.6319456605911254,0.9725845393180848
5,0.8822,0.7990463681936264,0.7915,0.8781097967624665,1.677156162905693,0.9912,0.09123884680867195,0.8676,0.47972696640491486,0.5709658145427704
6,0.9773,0.09088611561059952,0.8805,0.4146605713844299,0.5055466861724853,0.756,0.4770859258890152,0.8408,0.5651949652194976,1.04228089094162
7,0.8703,0.3176135535240173,0.8781,0.4548215985774994,0.7724351512908936,0.5876,0.5768831240177155,0.8632,0.5517909381866455,1.1286740640640258
8,0.9133,0.2744452069759369,0.8735,0.4648644319534302,0.7393096399307251,0.8488,0.42135112075805664,0.8728,0.5374652820587158,0.9588164031982422
9,0.9436,0.21976981353759767,0.8859,0.4163033004283905,0.6360731136798858,0.9168,0.2763558958530426,0.8716,0.4737401141166687,0.7500960111618042
10,0.9563,0.18650873205661775,0.8854,0.42013273944854734,0.6066414704799652,0.9336,0.310019873714447,0.8748,0.5326468173027039,0.8426666913986206
11,0.959,0.17008862991333007,0.8932,0.39388689618110656,0.5639755252838135,0.9188,0.2722298204898834,0.866,0.5400132201433182,0.8122430404663086
12,0.9493,0.17144901727437972,0.8874,0.40703221759796143,0.5784812339782714,0.9304,0.27042962000370024,0.8768,0.48567665672302246,0.7561062751770019
13,0.9427,0.1816202834010124,0.8917,0.39247069640159604,0.574090980052948,0.9008,0.29815418529510496,0.8728,0.44906788868904113,0.7472220699310302
14,0.9366,0.19173793756961824,0.881,0.41350761632919314,0.6052455532073975,0.9056,0.25618470878601074,0.8576,0.5288654411315918,0.7850501502990722
15,0.9275,0.20509583425521852,0.8726,0.4420806317448616,0.647176465511322,0.8804,0.32277050627470016,0.8692,0.4819978595733643,0.80476836643219
