epoch,acc,loss,lr,val_acc,val_loss
0,0.3608,1.816587836933136,0.001,0.7836,0.6949365466117859
1,0.803,0.6155068205833435,0.001,0.8956,0.38342076094150546
2,0.8856,0.38030417876243594,0.001,0.9236,0.2591147071361542
3,0.9121,0.287641234087944,0.001,0.9364,0.20603363617658615
4,0.9292,0.2358839053750038,0.001,0.948,0.160900231513381
5,0.9353,0.21176695519685745,0.001,0.9512,0.15839297555685045
6,0.9441,0.18247815407514573,0.001,0.9528,0.1437861598789692
7,0.9512,0.1626385197430849,0.001,0.96,0.12523633624836802
8,0.9515,0.15422424515783786,0.001,0.9648,0.11682886759415269
9,0.9568,0.1452455124989152,0.001,0.9632,0.11453203758001328
10,0.9597,0.12815800943970682,0.001,0.9628,0.11439512197673321
11,0.9621,0.12593668398335575,0.001,0.9632,0.10843362622279674
12,0.9655,0.11078735061883926,0.001,0.9672,0.09958933621942997
13,0.9686,0.1029070910796523,0.001,0.9676,0.09678251886209473
14,0.9696,0.10023101928383112,0.001,0.9652,0.09890237282812596
15,0.9675,0.09557789595797658,0.001,0.9684,0.08996904956940562
16,0.9741,0.08356485358700157,0.001,0.9692,0.09342518518287689
17,0.9718,0.08807939033955335,0.001,0.9716,0.08969431613469496
18,0.975,0.08400801022425294,0.001,0.9716,0.08475284468228929
19,0.9745,0.0786318463884294,0.001,0.972,0.08490564873032272
20,0.9794,0.06752396021559834,0.001,0.9744,0.08184241614369675
21,0.9771,0.07346919643059373,0.001,0.974,0.08237628544634208
22,0.979,0.06931308070980012,0.001,0.9728,0.08505904670269228
23,0.9767,0.07032191452756524,0.001,0.9728,0.07673899706094525
24,0.98,0.06542303099595011,0.001,0.9732,0.08087428573924117
25,0.9786,0.06271031645052134,0.001,0.9744,0.07952534908703528
26,0.9819,0.05654181757643819,0.001,0.9788,0.07279751047883183
27,0.9798,0.05869114202521741,0.001,0.9756,0.07255624886723236
28,0.9823,0.052906957637518646,0.001,0.9744,0.07587382750099059
29,0.9826,0.050756523803807796,0.001,0.9772,0.07255247839326039
30,0.9822,0.05274377361610532,0.001,0.9752,0.07375165934893303
31,0.9827,0.05392023893967271,0.001,0.9772,0.06585543065314414
32,0.9848,0.048247866680845616,0.001,0.9776,0.07061113496052566
33,0.9846,0.04576193613670766,0.001,0.978,0.06792706136592315
34,0.9842,0.04375055002886802,0.001,0.9764,0.06828806845921208
35,0.9847,0.04740755080655217,0.001,0.978,0.06734198626783909
36,0.9859,0.041517812160332686,0.001,0.9764,0.06788233787054779
37,0.9872,0.03532091382485814,0.00020000001,0.9784,0.06580801647245535
38,0.9866,0.03890381355541758,0.00020000001,0.976,0.06420685505088768
39,0.9886,0.03628703247625381,0.00020000001,0.978,0.06382146007358097
40,0.9884,0.036751266634464264,0.00020000001,0.9788,0.06233209316448774
41,0.9886,0.034589286659751084,0.00020000001,0.978,0.061537837590737034
42,0.9875,0.03694792336933315,0.00020000001,0.9784,0.06127690328405588
43,0.9879,0.0345727505069226,0.00020000001,0.9792,0.06203046005521901
44,0.9896,0.029855819935165347,0.00020000001,0.978,0.06193848224201356
45,0.9884,0.031159592297649943,0.00020000001,0.9784,0.06234735530345643
46,0.9891,0.03259432425200939,0.00020000001,0.978,0.06436286696813623
47,0.9904,0.02984986504255794,0.00020000001,0.9784,0.06387003994042462
48,0.9888,0.03263016682676971,4.0000003e-05,0.9776,0.06288890889026806
49,0.991,0.026212724618986247,4.0000003e-05,0.9772,0.06268522928394087
50,0.9879,0.03385685901530087,4.0000003e-05,0.978,0.062558156700799
51,0.9891,0.032047861677780745,4.0000003e-05,0.9776,0.06179629580119799
52,0.99,0.030395987991057336,4.0000003e-05,0.978,0.06145535758919432
